id,feature,weight,og,t1,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t2,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t3,t30,t4,t5,t6,t7,t8,t9
mh0,mh0,50.0,1,1,7,8,8,8,19,8,8,22,8,8,1,15,10,8,13,8,8,0,8,22,22,1,22,1,1,1,16,3,5
mh1,mh1,50.0,8,11,14,13,13,13,13,13,13,13,25,13,11,29,17,13,21,13,24,13,13,13,13,13,13,13,13,13,13,0,14
mh2,mh2,50.0,5,0,10,10,43,10,35,10,10,35,10,13,1,10,13,13,13,10,16,17,10,35,37,8,37,8,8,8,19,10,10
mh3,mh3,50.0,7,1,18,1,1,1,0,39,1,0,21,27,1,30,21,21,21,21,21,29,31,32,0,1,0,36,1,11,1,1,15
mh4,mh4,50.0,0,1,0,0,39,0,0,40,40,23,0,0,31,19,13,0,0,0,17,0,20,23,27,1,27,30,0,0,0,0,0
mnh0,mnh0,50.0,5,67,11,11,69,11,37,11,11,38,13,13,64,29,13,13,13,13,27,13,13,42,38,11,38,45,11,11,11,11,11
mnh1,mnh1,50.0,1,5,12,14,29,16,12,14,32,25/12,16,16,5,16,16,16,20,16,16,16,16,12,12,8,12,8,8,10,12,12,12
mnh2,mnh2,50.0,1,24,7,4,4,8,4,4,4,4,4,4,23,19,4,16,4,4,4,18,4,4,4,1,4,1,1,3,4,4,4
mnh3,mnh3,50.0,1,27,17,14,29,14,20,30,30,20,14,14,26,14,14,18,14,14,14,14,14,20,20,1,20,25,8,10,14,14,14
mnh4,mnh4,50.0,1,1,12,19,41,19,37,43,45,37,20,20,2,20,22,20,20,20,20,25,20,37,37,10,37,10,10,10,10,12,13
mnh5,mnh5,50.0,4,29,5,11,30,12,5,11,11,5,12,12,1,21,15,12,12,12,12,18,21,5,5,5,5,28,5,5,5,5,5
mnh6,mnh6,50.0,1,2,2,8,8,8,35,8,8,2,8,8,2,31,13,8,8,8,8,8,31,2,36,2,36,2,2,5,2,2,2
mnh7,mnh7,50.0,2,1,13,10,10,10,45,58,57,45,32,10,8,37,15,23,10,10,27,30,10,45,54,8,55,8,8,8,10,10,11
mnh8,mnh8,50.0,18,1,20,20,77,20,67,83,83,67,20,24,1,20,25,57,24,59,24,20,20,67,67,1,67,1,1,1,20,20,20
mnh9,mnh9,50.0,1,1,1,1,20,1,17,1,1,17,1,1,1,15,4,5,8,9,1,11,15,17,17,1,17,1,1,1,1,1,1
mnh10,mnh10,50.0,1,1,6,16,3,3,18,28,30,21,3,9,1,3,9,9,9,11,9,13,3,21,21,3,21,3,3,3,3,6,6
mnh11,mnh11,50.0,3,4,8,12,12,12,22,39,41,27,12,12,4,12,12,12,12,15,12,12,17,30,33,5,33,4,5,5,8,11,8
mnh12,mnh12,50.0,6,48,15,1,53,17,33,55,55,36,17,21,42,29,17,17,18,17,23,26,17,36,38,1,38,41,1,1,32,1,14
mnh13,mnh13,50.0,15,46,16,39,48,22,16,49,22,42,38,24,16,22,24,32,24,35,36,22,22,43,42,16,42,16,16,16,40,16,16
mnh14,mnh14,50.0,15,1,1,1,1,1,34,48,48,34,1,26,1,1,1,1,25,1,1,29,1,34,34,1,34,37,1,1,1,1,20
lpsh0,lpsh0,1.0,3,27,11,19/11/12,28,11,20,12,30,20,11,11/14,1/24,18,11,11,11,11,11,11,18,20,20,8,20,6,8,8,20/8,11,11
lpsh1,lpsh1,1.0,6,0,0/9,9,9,9,16,0,0,9,9,9/14,0,0/9,10,9,12,0,9,9,9,9,9,7,9,7,7,7,9,0/9,0
lpsh2,lpsh2,1.0,1,0,12,16,0,16/0/18,7,36,36,7,28,16,6,31,19,16,16,0/23,27,16,30,7,35,6,35,6,8,7,32/7,10,10
lpsh3,lpsh3,1.0,0/3,1,12,15,15,15,12,34,35,12,30,0/17/25,5,0,21,23,17,17,17/26,17/28,0,0/12,12,5,12,5,5/8,5,12,0/12,12/13
lpsh4,lpsh4,1.0,7,0,8,0,23,0,0,31,31,17,0,9,21/22,12,9/10,9,9,0/11,0,0,12,17,17,0,19,0,0,0,0,8,8
lpsh5,lpsh5,1.0,8/13,1,20,22,52,22,47,56,0,47,22,22,0/50,46,22,29,30,31,22,22,0,47,0,14,0,14,14,15,20,20/21,20
lpsh6,lpsh6,1.0,4,1,38,0,61,0,53,62,63,53,0,39,1,50,42,44,39,0,39,39,0,53,55,9,55,9,9/12,9,36,35,0
lpsh7,lpsh7,1.0,2,0,0,19,25/26,9,0,9,9,0,9,9,24,9,10,9,12,14,9,9,9,0,0,0,0,22,0,0,0,0,0
lpsnh0,lpsnh0,1.0,7,1,13,16/15,69,15,13,15,74,13,15,18,1,17,17/19,18,18,23/24,33,58,17,13,13,10,13,1,10,10/12,13,13,13
lpsnh1,lpsnh1,1.0,1/4,5/25,9,9,9,9/11,19,9,9/26,19,17,9,5/23,9,9,9,9,9,9,9,18,19,19,5/6,19,5,5,8,9,9,9
lpsnh2,lpsnh2,1.0,15,58,19,25/26,61,25,46,67,67,39,25,28,54,27,28,28,28,25,34,36,27,39,39,1,50,1,1,19,19,19/21,19
