id,feature,weight,og,t1,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t2,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t3,t30,t4,t5,t6,t7,t8,t9
mh0,mh0,50.0,1,1,1,1,27,1,24,6,27,6,6,0,33,6,2,31,2,31,2,0,15,5,15,1,31,34,1,35,0,0,34
mh1,mh1,50.0,0,0,14,28,14,14,14,14,27,14,14,25,47,14,14,44,14,37,14,14,21,14,21,11,41,0,46,0,0,0,0
mh2,mh2,50.0,0,0,10,7,7,0,7,0,7,0,0,0,17,0,0,7,0,9,0,0,0,0,6,0,9,0,11,20,0,0,0
mh3,mh3,50.0,3,1,1,1,1,1,0,7,1,7,7,1,1,7,32,1,32,1,32,7,7,32,7,1,1,0,1,1,1,1,1
mh4,mh4,50.0,10,45,0,17,24,17,24,22,24,0,22,17,52,0,20,35,20,29,21,22,22,21,22,0,30,52,45,52,52,52,57
mnh0,mnh0,50.0,4,1,35,11,31,11,28,11,30,11,20,26,89,11,17,33,17,33,18,20,20,19,22,11,34,111,87,109,91,91,111
mnh1,mnh1,50.0,1,2,38,2,35,37,35,7,35,7,31,5,44,7,7,2,7,2,7,29,29,7,29,2,2,44,2,44,45,45,44
mnh2,mnh2,50.0,1,1,1,23,21,19,19,2,19,2,11,2,1,2,4,19,4,19,4,2,2,4,10,1,19,1,1,1,29,30,32
mnh3,mnh3,50.0,1,45,29,10,10,26,22,15,10,15,20,21,1,15,15,10,15,10,15,15,15,15,15,1,28,49,42,1,1,1,1
mnh4,mnh4,50.0,1,1,3,27,21,28,22,7,26,7,7,20,39,7,7,35,7,3,7,11,10,7,10,3,30,41,38,39,39,40,41
mnh5,mnh5,50.0,8,37,11,15,15,28,15,15,15,15,24,27,1,15,18,31,19,28,18,22,22,18,22,9,28,39,34,39,39,39,39
mnh6,mnh6,50.0,1,2,2,5,27,41,5,19,28,6,19,25,2,6,17,43,18,38,17,20,20,17,23,2,38,2,2,49,53,53,54
mnh7,mnh7,50.0,5,1,1,29,29,29,29,8,29,8,8,23,1,8,8,33,13,33,8,20,19,10,19,1,33,38,1,1,1,1,51
mnh8,mnh8,50.0,18,19,94,71,71,71,71,26,88,26,26,33,113,26,19,71,19,71,25,29,27,19,27,19,93,113,19,113,113,113,116
mnh9,mnh9,50.0,2,20,17,14,1,14,1,1,1,8,1,9,24,8,1,14,1,14,1,1,1,1,1,1,14,24,1,24,24,24,24
mnh10,mnh10,50.0,2,27,5,9,17,9,9,10,17,10,10,14,1,10,11,9,11,19,11,10,13,11,13,5,22,1,30,1,40,40,1
mnh11,mnh11,50.0,4,6,9,9,9,9,9,9,9,13,21,26,48,13,9,41,9,32,9,18,18,9,18,8,40,48,47,53,48,48,48
mnh12,mnh12,50.0,5,74,69,49,55,49,54,37,55,37,37,48,84,37,21,49,21,59,34,46,46,21,47,11,59,87,73,88,89,89,95
mnh13,mnh13,50.0,9,10,10,26,33,34,29,11,31,11,11,18,46,11,11,38,11,26,11,14,13,11,13,10,26,46,10,46,46,46,52
mnh14,mnh14,50.0,13,43,42,27,17,17,17,17,17,17,17,17,48,17,17,17,17,17,17,17,17,17,17,17,37,48,43,48,51,48,53
lpsh0,lpsh0,1.0,6,0,23/8,12,12,20,12,12,18/12,12,12,12,1,12,0,21,0,0/21,15,12,12,14,16,11,21/22,1,25,28,1,32,1
lpsh1,lpsh1,1.0,4,1,7,8,8,16/18,14,11,8,9,11,9,1/39,9,0,16,0,35,0,12,11,0,11,1,35,39,0,44,39,39,39
lpsh2,lpsh2,1.0,1,1,1,28,27,5/30,5,7,5,18,0,22,41,18,7,31,7,35,7,0/19,19,0/7/12,20,1,35,42,0,42,42,46,50
lpsh3,lpsh3,1.0,4,5,10,29,26,11,23,11,27,15,19,11,5,16,13,31,13,0,13,17,0/17,14,0,7,33,42,36,38/39,40,5,41
lpsh4,lpsh4,1.0,0,0/21,2,2,2,10,2,2,2,2,2,2,23,8,2/5,0,2/5,11,2,9,9,2,9,0,11,30,19,25,27,0,30
