id,feature,weight,og,t1,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t2,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t3,t30,t4,t5,t6,t7,t8,t9
mh0,mh0,50.0,1,1,1,1,1,1,6,1,1,6,1,1,1,5,3,1,4,1,1,1,1,6,6,1,6,1,1,1,1,1,1
mh1,mh1,50.0,7,9,14,14,14,14,19,21,21,19,14,14,9,14,14,14,14,14,14,14,14,19,19,10,19,10,10,10,14,14,14
mh2,mh2,50.0,1,0,2,2,12,2,9,2,2,9,2,2,0,2,2,2,2,2,4,2,2,9,9,2,9,2,2,2,2,2,2
mh3,mh3,50.0,2,1,1,1,1,6,1,12,12,1,6,6,1,6,6,6,6,6,6,6,6,1,1,1,1,11,1,4,1,1,1
mh4,mh4,50.0,1,7,13,13,13,13,18,32,0,18,14,14,10,14,14,14,14,14,14,14,14,18,0,10,0,23,12,13,13,13,13
mnh0,mnh0,50.0,5,29,7,7,31,7,7,7,7,7,7,7,27,17,13,7,7,7,15,7,7,7,7,7,7,7,7,7,7,7,12
mnh1,mnh1,50.0,1,3,10,14,20,14,10,14,21,10,14,14,5,14,17,14,14,14,14,14,19,10,10,6,10,6,6,8,10,10,12
mnh2,mnh2,50.0,1,1,1,1,13,2,1,1,1,10,2,2,1,7,2,2,2,2,2,2,2,10,11,1,11,1,1,1,1,1,1
mnh3,mnh3,50.0,2,1,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,13,9,9,9,9,9,1,9,15,3,3,9,9,9
mnh4,mnh4,50.0,1,1,5,12,11,12,5,26,25,5,12,12,1,12,13,12,12,12,12,12,12,20,5,5,5,5,5,5,5,5,5
mnh5,mnh5,50.0,1,1,1,1,1,1,12,1,14,12,1,1,1,1,1,1,1,1,8,1,1,12,12,1,12,1,1,1,11,1,1
mnh6,mnh6,50.0,1,1,1,1,1,1,19,21,21,20,1,6,1,13,1,1,5,1,1,1,13,20,20,1,20,1,1,1,1,1,1
mnh7,mnh7,50.0,3,1,1,1,1,1,22,1,1,22,17,1,1,19,1,7,1,1,1,15,18,22,24,1,24,1,1,1,1,1,1
mnh8,mnh8,50.0,17,1,20,20,51,20,20,20,20,20,20,20,1,20,22,34,36,40,20,41,20,20,20,1,20,1,1,19,20,20,20
mnh9,mnh9,50.0,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,8,8,3,9,11,3,3,3,3,3,12,3,3,3,3,7
mnh10,mnh10,50.0,1,1,4,4,4,4,10,18,18,13,4,7,1,4,4,4,4,4,4,8,4,13,13,1,13,14,4,4,4,4,4
mnh11,mnh11,50.0,3,1,5,1,1,1,1,13,1,1,1,1,1,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5
mnh12,mnh12,50.0,5,30,9,9,32,9,22,33,33,22,9,9,1,9,12,13,9,9,9,19,9,22,22,9,22,9,9,9,9,9,9
mnh13,mnh13,50.0,1,1,6,12,12,12,6,12,12,20,12,12,1,19,12,12,12,12,12,12,12,20,20,6,20,6,6,6,6,6,6
mnh14,mnh14,50.0,7,1,8,8,8,10,13,21,21,13,10,10,1,10,10,10,10,10,10,10,10,13,13,8,13,8,8,8,8,8,8
lpsh0,lpsh0,1.0,4,1,6,6,6,6,6,6,6,6,6,6,1/10,6,6,6,6,6,8,6,6,6,6,1,6/9,1,1,1,6,0,6
lpsh1,lpsh1,1.0,2,0,0,0/12,0,5,0,0,0,0,5/11,0,0,5,5/6,5,5,7,5,8,5,0,0,0,0/14,0,0,0,0,0,0
lpsh2,lpsh2,1.0,1,1,1/8,12,21/12,12,1,12,12,1,12,12,1/19,12,12/13,12,12,12,0,12,12,1,1,1/2,1,1,1/3,1,1,1,4/6
lpsh3,lpsh3,1.0,1,1,0,0/10,10,0,14,19,19,14,0/12,11,16/4,13,0,0,0,0,0,0,0/13,14,14,4,14,4/15,4,4,0,0,0
lpsh4,lpsh4,1.0,1,1,1,1/2/3,10,1,1,2,2,6/7,3,3,1,0,3,3,3,3,3,3,0/3,7,6/7,1,8,1,1,1,1/4,1,1
lpsh5,lpsh5,1.0,4,1,6,6,0/6,6/9,19/6,24,24,20,6,6,1,15,6,12,6,6,13,6,6,20,21,1,21,1,1,6,6,6,6
lpsh6,lpsh6,1.0,2,1,14,0/15,28,0,14,29,29,14,0,17/18,1,20,17,17,17,17,17,17,0,14,14,1/3,24,3,3,3,14,14,14
lpsh7,lpsh7,1.0,0,0,0,6,6,6,12,0,0/14,0,6,6,0,6,0/7,6,6,6,6,9,10,0,0,0,0,0,0,0,0,0,0/5
lpsnh0,lpsnh0,1.0,7,1,8,8,8,12,38,8,8,38,12,12,1,12,12/14/15,12,14,19,25,36,12,38,38,8,38,1,8,8,8,8,8/11
