id,feature,weight,og,t1,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t2,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t3,t30,t4,t5,t6,t7,t8,t9
mh0,mh0,50.0,1,0,0,0,36,0,0,0,0,4,0,0,0,0,26,0,36,0,16,0,0,21,23,0,0,0,0,0,20,0,20
mh1,mh1,50.0,0,0,16,3,17,6,6,4,6,4,10,3,0,4,0,11,18,6,6,6,0,0,0,0,15,0,0,15,0,10,0
mh2,mh2,50.0,0,0,7,0,0,4,4,0,21,0,7,2,0,0,0,8,0,5,4,21,4,15,0,0,19,0,0,7,0,10,0
mh3,mh3,50.0,0,7,27,0,20,15,15,11,15,11,22,11,7,11,21,0,20,15,15,15,16,21,25,7,28,7,20,27,21,22,21
mh4,mh4,50.0,1,3,13,1,25,1,8,1,1,1,13,0,1,1,22,13,25,7,1,1,9,14,22,1,13,1,1,13,14,13,14
mnh0,mnh0,50.0,1,1,31,2,1,1,1,2,1,2,19,2,1,2,20,18,32,1,1,1,8,24,27,1,1,10,12,1,18,19,25
mnh1,mnh1,50.0,5,1,8,27,8,36,39,32,36,27,8,27,8,27,8,8,54,36,36,36,43,8,8,8,50,8,8,8,8,8,8
mnh2,mnh2,50.0,1,2,21,2,22,15,2,11,23,9,2,12,2,11,2,2,22,2,2,23,2,2,20,2,21,2,2,2,2,2,2
mnh3,mnh3,50.0,1,1,19,1,24,1,1,5,1,5,1,6,3,5,1,12,24,1,9,1,1,1,1,1,1,1,1,1,1,1,1
mnh4,mnh4,50.0,1,3,4,8,15,4,14,11,4,11,21,12,4,11,4,18,15,4,14,4,4,22,4,4,25,4,15,4,4,4,4
mnh5,mnh5,50.0,1,1,3,12,3,13,16,3,3,3,26,3,7,3,29,3,3,15,3,3,3,29,29,3,34,3,21,3,3,3,31
mnh6,mnh6,50.0,7,1,1,1,1,1,1,11,1,1,1,1,10,1,1,1,1,1,24,1,18,1,26,1,1,1,1,1,1,1,1
mnh7,mnh7,50.0,1,7,13,9,28,1,1,9,1,9,13,9,1,9,13,13,29,1,1,33,1,13,13,13,24,1,14,13,13,13,17
mnh8,mnh8,50.0,72,78,108,78,105,97,98,85,110,78,78,78,78,78,107,78,105,98,98,110,78,78,107,78,108,78,105,78,78,78,78
mnh9,mnh9,50.0,1,1,5,5,5,10,10,5,10,5,5,5,6,5,5,5,18,10,10,10,12,5,5,5,5,5,5,5,5,5,5
mnh10,mnh10,50.0,1,1,14,1,1,1,10,1,1,1,14,1,1,4,18,14,1,1,25,1,1,18,18,14,20,14,1,14,18,14,18
mnh11,mnh11,50.0,1,1,9,1,32,1,8,1,35,1,21,4,1,1,27,21,34,8,8,36,1,9,27,9,28,1,17,9,9,21,9
mnh12,mnh12,50.0,1,1,29,3,2,15,18,8,2,8,22,13,2,9,22,22,2,2,2,2,19,22,22,22,22,2,2,22,25,22,22
mnh13,mnh13,50.0,5,1,30,7,17,6,6,7,6,7,24,11,6,7,24,24,31,6,32,33,15,24,24,6,30,6,22,30,24,24,24
mnh14,mnh14,50.0,11,15,25,20,37,20,20,20,20,20,25,20,20,21,26,25,37,20,20,20,23,26,26,20,29,20,20,25,25,25,26
lpsh0,lpsh0,1.0,1,6,15,0/6,6,6,6,7,6,6,17,10,6,6,15,15,6,6/11,6,6,6,15,15,14,15,6/13,6,15,15,14,15
lpsh1,lpsh1,1.0,0,0/2,4,4,14,4,4,4,4,4,4,4,4,4,12,4,14,4,4,4,0,4,12,4,4,4/9,10,4,4,4,4
lpsh2,lpsh2,1.0,1,1,8,14,26,0,0,11,35,9,8,16/15,9,11,39/8/40,37/8,26,0/19,33,36,25,8,39,8/26,8,28,8,8,8,38/8,8
lpsh3,lpsh3,1.0,2,0,17,7,7,7/11,7,7,7,7,14,10,7,7,16,14,7,7,20/7,7,12,0/14,16,14,14,14,7,14,14,14,14
lpsh4,lpsh4,1.0,1,1,22/25,3,1,4,7,2,7,2,22,3,1,0,22,22,1,7,21/7,7,17,22,22,1,22,1/19/20,1,22,22,22,22
lpsh5,lpsh5,1.0,2/5,1/6,0/31,8,35,13,15,8,14,8,8,8,8,8,25,8,0,14,15,38,21,25/28,25,8,32,8,8,31,25,8,25
lpsh6,lpsh6,1.0,3,0,0/29,0,32/33/34,10/11,15,0,9,0,0/24,0,0,7,0,22,32,14,9,9,17/19,0/26/27,0,0,0,0/20,0,0,0,0,0/25
lpsh7,lpsh7,1.0,2,0/4/5,0/28,14,31,16,16,0/12,16/0,11,10,10/15,10,0,23,22/10,34,16,16,16,0,23,25/26,10,28,10,10,28,23,10,23
lpsnh0,lpsnh0,1.0,2,1,1,7/8,12,1/9,1/10,1,1,1,1,7,1,1,1,1,12,1,1/22,1,1,1,16/15,1,20,1,12,1,1,1,1
lpsnh1,lpsnh1,1.0,1,3/5,3,6,38,13,13,6,18,8,30,6,3,6,34,23/24,38,13,13,18,11,33,34,3,35,3,3,3,23,23,23
lpsnh2,lpsnh2,1.0,1/2,1,18/29,1,1,10,8,1,8,1,23,1/7,3,1,25/28,17,42,8,16/15,8,1,26,25,1,17,1/12/14,1,17/18,17,17,25
lpsnh3,lpsnh3,1.0,1,1,26,6/7,1,8,13,2,1,2/4,20,7,1,2/5,25,20,1/28,1,1,1,16,23,25,19,20,1,1,20/27,20,20,23
lpsnh4,lpsnh4,1.0,1,1,12,1,1/20,6,7,1,6/7/24,1,12,1,1,1,12,16,20/21,7,23,6,8,17,12,1,12,1,1,12,12,12,12
lpsnh5,lpsnh5,1.0,2,1,1,5,13,1,6,3,1/34,3,1,5,1,3,24,14,13,1,31,1,1,18,24,1,1,8,1/13,1,18,1,18
lpsnh6,lpsnh6,1.0,1,3,21,5,3,20,19,3,19,3,28,8,3,3,21,21,38,19,24,19,17,29,21,3/21,32,3,3,21,21,21,29
