id,feature,weight,og,t1,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t2,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t3,t30,t4,t5,t6,t7,t8,t9
mh0,mh0,50.0,1,1,7,6,6,22,9,6,6,6,11,11,1,6,6,14,6,19,10,6,26,14,6,5,23,1,1,6,6,6,6
mh1,mh1,50.0,1,1,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,6,8,4,4,3,4,3,3,3,3,4,4
mh2,mh2,50.0,1,2,4,4,4,4,4,4,4,4,4,4,2,6,0,0,4,0,4,0,31,0,0,2,4,4,2,4,4,4,4
mh3,mh3,50.0,1,1,4,4,4,4,7,4,4,12,0,0,4,7,7,7,11,7,4,7,11,7,7,4,11,4,4,4,4,4,4
mh4,mh4,50.0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mnh0,mnh0,50.0,1,1,5,5,5,5,9,15,5,5,15,18,1,5,5,5,33,40,16,5,38,5,13,1,5,1,1,5,5,5,5
mnh1,mnh1,50.0,1,1,1,1,1,1,6,1,1,1,1,1,1,6,6,6,1,6,1,14,1,6,6,1,12,1,2,1,9,1,1
mnh2,mnh2,50.0,2,1,5,5,6,6,6,6,6,6,6,6,1,11,7,7,6,9,6,7,12,7,7,1,6,1,1,5,5,6,6
mnh3,mnh3,50.0,1,1,1,1,1,1,1,1,1,8,1,1,1,6,7,2,9,1,1,7,9,2,2,1,9,1,1,1,5,1,1
mnh4,mnh4,50.0,7,1,11,11,15,14,14,14,14,28,14,14,8,18,18,31,28,26,23,18,28,31,18,9,28,8,1,25,11,11,14
mnh5,mnh5,50.0,2,1,5,5,5,6,5,6,6,10,6,6,1,5,5,9,11,5,6,15,11,9,5,1,10,1,1,3,3,5,5
mnh6,mnh6,50.0,1,1,5,5,5,18,5,5,5,5,9,7,1,5,5,5,5,11,5,17,21,5,5,1,5,5,1,5,5,5,5
mnh7,mnh7,50.0,19,1,1,1,1,24,24,24,24,34,24,24,1,53,24,24,34,24,24,30,34,24,24,1,36,1,1,1,1,1,1
mnh8,mnh8,50.0,1,1,1,1,1,8,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,5,1
mnh9,mnh9,50.0,1,1,1,1,1,1,12,1,1,1,1,1,1,12,12,12,17,12,1,18,16,12,12,5,15,1,4,1,1,1,1
mnh10,mnh10,50.0,1,1,3,3,3,14,6,3,3,3,3,3,3,13,6,6,3,6,3,6,3,6,6,3,3,3,1,3,10,3,3
mnh11,mnh11,50.0,1,1,11,11,6,6,15,18,21,6,18,18,7,15,28,15,23,25,16,29,24,30,15,6,6,6,6,6,22,6,6
mnh12,mnh12,50.0,1,1,1,1,1,4,5,4,4,8,4,4,1,11,4,4,4,4,4,4,4,4,4,1,4,1,1,1,1,1,1
mnh13,mnh13,50.0,2,1,1,1,1,1,1,1,1,1,1,1,1,8,8,12,1,7,9,8,1,12,7,4,1,1,1,1,1,1,1
mnh14,mnh14,50.0,2,4,7,7,7,7,7,7,7,7,7,12,4,7,17,7,22,15,10,19,7,7,7,4,7,4,4,7,7,7,7
