id,feature,weight,og,t1,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t2,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t3,t30,t4,t5,t6,t7,t8,t9
mh0,mh0,50.0,1,1,2,4,1,7,24,1,17,5,2,2,1,0,7,0,21,27,27,21,2,28,27,7,27,1,1,1,1,13,14
mh1,mh1,50.0,1,1,0,0,0,1,0,0,0,0,0,5,1,7,1,6,15,10,10,0,3,10,10,1,10,2,1,0,0,1,12
mh2,mh2,50.0,0,1,1,1,0,13,1,22,20,1,1,1,1,1,13,1,1,11,30,1,1,11,33,6,33,1,4,1,20,14,1
mh3,mh3,50.0,1,1,4,2,1,0,4,1,8,4,4,4,1,4,14,4,3,0,20,3,3,18,22,1,22,2,1,2,8,7,1
mh4,mh4,50.0,1,1,1,1,9,5,1,1,7,1,1,1,1,1,11,1,1,5,18,1,1,15,5,4,5,1,1,1,1,4,1
mnh0,mnh0,50.0,1,1,4,4,54,20,4,57,56,4,4,4,1,16,20,69,67,59,59,68,4,59,63,19,66,1,1,1,54,23,54
mnh1,mnh1,50.0,5,10,1,1,22,15,1,10,10,8,1,1,1,1,30,1,29,11,11,29,1,11,11,11,11,1,1,1,10,11,19
mnh2,mnh2,50.0,1,1,1,1,13,1,1,14,13,1,1,1,8,1,1,1,1,1,1,1,6,1,1,1,1,1,9,1,13,1,13
mnh3,mnh3,50.0,1,8,3,3,8,15,3,8,8,7,3,6,3,3,9,29,3,9,25,3,3,9,28,9,28,3,3,3,8,16,8
mnh4,mnh4,50.0,1,1,1,1,11,1,1,1,1,1,1,1,9,1,1,1,25,1,16,25,7,14,1,1,1,1,9,1,1,1,1
mnh5,mnh5,50.0,1,12,4,4,19,18,4,24,19,4,43,5,3,6,17,6,28,12,12,28,4,32,40,12,42,3,10,4,19,12,21
mnh6,mnh6,50.0,1,1,1,1,1,9,18,15,1,1,22,1,1,1,19,1,1,20,20,1,1,20,20,1,20,1,1,1,1,11,12
