id,feature,weight,og,t1,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t2,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t3,t30,t4,t5,t6,t7,t8,t9
mh0,mh0,50.0,1,1,1,2,6,2,6,6,17,2,9,11,1,9,17,5,0,17,2,12,13,1,1,1,17,1,1,1,1,15,1
mh1,mh1,50.0,1,4,14,4,4,8,4,0,0,7,4,10,4,4,14,9,4,14,4,10,4,4,4,4,15,4,4,4,4,4,4
mh2,mh2,50.0,1,1,10,4,1,4,1,6,10,5,1,0,1,1,10,4,1,10,4,0,1,1,1,1,10,13,4,4,1,10,1
mh3,mh3,50.0,1,1,1,1,21,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,29,1,1,1,1,0
mh4,mh4,50.0,1,4,4,6,11,6,11,12,4,6,11,0,4,33,4,6,31,0,6,0,13,14,4,4,26,30,4,4,17,4,4
mnh0,mnh0,50.0,2,11,1,1,9,1,1,1,24,8,1,10,1,1,20,1,1,20,7,10,14,1,1,1,21,1,1,1,17,1,1
mnh1,mnh1,50.0,1,1,24,2,1,2,1,11,25,2,10,11,1,10,25,2,10,25,2,11,18,1,1,23,25,1,1,1,22,24,1
mnh2,mnh2,50.0,1,4,1,4,9,4,9,9,1,8,9,9,1,9,1,4,19,16,7,10,12,14,1,1,1,17,4,4,15,1,1
mnh3,mnh3,50.0,3,4,16,13,4,13,4,4,16,12,4,4,16,4,16,13,4,19,9,4,16,16,16,16,27,4,4,7,16,16,16
mnh4,mnh4,50.0,1,3,23,3,3,4,3,7,23,3,3,3,8,31,27,5,3,27,3,3,15,19,21,8,23,1,3,3,22,23,8
mnh5,mnh5,50.0,6,1,1,16/9,1,9,18,1,1,9,18,19,1,18,1,17,18,1,14,19,22,1,24,1,25,1,7,8,1,1,1
mnh6,mnh6,50.0,1,2,23,3,13,3,13,13,26,3,13,13,17,13,23,3,13,23,11,13,21,17,17,2,26,2,2,2,2,23,17
mnh7,mnh7,50.0,1,1,1,1,7,1,7,11,1,1,10,11,1,10,21,1,34,29,5,11,14,14,14,1,1,1,1,1,1,1,14
mnh8,mnh8,50.0,9,1,1,1,1,1,16,23,1,1,16,24,1,44,1,1,43,40,1,24,29,1,1,1,1,1,1,1,38,1,1
