id,feature,weight,og,t1,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t2,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t3,t30,t4,t5,t6,t7,t8,t9
mh0,mh0,50.0,1,29,26,10,30,26,18,10,19,10,20,26,26,26,26,26,20,20,20,23,35,26,26,0,26,0,10,9,10,8,26
mh1,mh1,50.0,1,15,0,6,0,0,10,9,0,9,0,15,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,17,3,0
mh2,mh2,50.0,1,30,1,1,31,8,1,1,7,1,1,23,0,1,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
mh3,mh3,50.0,0,17,14,0,19,14,0,0,6,0,6,17,17,19,17,17,12,23,6,12,6,19,21,8,19,6,6,6,14,8,0
mh4,mh4,50.0,1,0,1,7,18,0,1,1,8,1,8,0,1,1,1,1,9,9,9,9,8,0,1,2,1,1,1,2,1,2,1
mnh0,mnh0,50.0,1,33,13,1,13,29,1,1,1,1,12,35,13,13,13,13,42,43,1,1,11,13,39,2,13,1,1,2,41,2,13
mnh1,mnh1,50.0,4,28,26,14,27,31,14,19,23,19,23,28,28,27,28,28,25,25,24,25,23,27,27,1,27,1,1,1,26,1,26
mnh2,mnh2,50.0,1,19,16,10,16,16,1,9,12,9,15,16,16,16,16,16,12,12,12,12,12,16,16,1,23,1,1,1,16,4,16
mnh3,mnh3,50.0,1,30,1,9,32,16,8,9,13,9,11,31,18,15,18,18,11,11,11,11,11,15,15,4,15,1,1,4,1,6,1
mnh4,mnh4,50.0,3,21,9,9,9,9,11,10,13,10,9,9,19,9,18,18,9,23,9,9,9,9,9,1,9,1,9,1,9,1,17
mnh5,mnh5,50.0,1,13,2,2,22,12,9,2,2,2,11,2,2,19,2,2,11,24,11,11,11,19,19,5,19,3,2,5,2,5,2
mnh6,mnh6,50.0,5,1,1,1,1,1,21,1,21,1,21,1,25,1,24,25,21,21,21,22,21,1,1,11,1,1,1,11,1,11,1
mnh7,mnh7,50.0,3,6,21,11,32,6,16,10,16,10,18,6,24,27,6,6,16,33,16,16,16,27,29,4,27,6,6,4,6,7,6
mnh8,mnh8,50.0,65,87,72,72,72,85,72,72,72,72,82,86,72,72,72,72,78,78,80,78,92,72,72,72,72,72,72,72,72,72,72
mnh9,mnh9,50.0,1,8,8,9,8,8,11,9,9,9,9,17,15,20,15,15,9,9,9,9,23,20,21,5,19,2,8,5,8,7,8
mnh10,mnh10,50.0,3,21,19,11,1,21,14,11,17,11,1,21,23,1,23,23,1,31,1,1,1,1,1,6,1,1,1,6,1,6,19
mnh11,mnh11,50.0,1,15,13,7,15,15,7,10,7,10,11,15,21,15,21,21,11,11,12,11,25,15,15,1,15,1,1,1,1,5,13
mnh12,mnh12,50.0,1,1,1,12,1,1,6,6,15,11,18,1,1,1,1,1,33,32,18,18,18,1,1,4,1,1,1,4,1,4,1
mnh13,mnh13,50.0,4,18,10,10,10,16,10,11,12,11,12,18,16,10,16,16,29,29,12,12,32,10,28,7,10,1,10,7,10,7,10
mnh14,mnh14,50.0,4,27,21,21,21,21,22,21,22,21,25,27,21,28,21,21,25,25,25,25,25,28,21,12,29,13,21,12,21,18,21
lpsh0,lpsh0,1.0,0,15,0,6,0/16,0,9,0/3,11,0/3,3,15,0,16,0,0,3/20,20,3,3,3,16,16,2,18,0,3,2,0/19,2,0
lpsh1,lpsh1,1.0,1,13,0/1,1,1,13,1,1,8/9,1,7/12,13,15,0,13,13,17/18/7,7,7,11,7,0,1,1/5,1,4,1,1/5,1,1,1
