id,feature,weight,og,t1,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t2,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t3,t30,t4,t5,t6,t7,t8,t9
mh0,mh0,50.0,1,0,8,14,8,0,0,8,20,20,24,20,0,20,22,24,8,0,8,23,26,8,0,8,8,0,0,8,8,28,29
mh1,mh1,50.0,1,1,3,3,3,3,3,3,4,15,3,5,1,5,7,3,3,3,3,3,3,3,3,3,3,2,1,3,3,3,3
mh2,mh2,50.0,1,1,41,1,1,7,7,1,3,3,0,3,1,3,1,1,1,21,0,1,8,21,21,1,28,1,1,1,1,1,1
mh3,mh3,50.0,2,13,0,0,13,13,13,20,15,13,13,13,13,13,13,13,20,34,26,13,13,13,34,13,13,13,13,13,32,13,0
mh4,mh4,50.0,0,0,15,1,1,1,1,1,1,4,1,4,0,4,0,1,1,1,1,1,0,1,17,0,1,0,0,1,0,1,15
mnh0,mnh0,50.0,1,1,49,9,7,7,12,40,7,7,7,7,1,7,7,7,40,59,40,7,35,41,59,6,43,3,1,6,6,6,50
mnh1,mnh1,50.0,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,12,8,9,16,1,1,1,3,3,1,1,1,1
mnh2,mnh2,50.0,1,1,1,8,8,8,8,14,8,8,12,8,1,8,8,12,14,8,14,8,13,20,8,1,8,1,5,1,17,8,1
mnh3,mnh3,50.0,1,1,1,1,1,1,1,1,1,1,16,1,1,1,1,1,1,19,1,6,8,1,19,1,1,3,1,1,1,11,15
mnh4,mnh4,50.0,1,1,1,12,19,12,12,12,13,12,12,12,1,12,14,12,21,12,12,12,12,12,23,1,12,8,1,12,22,12,1
mnh5,mnh5,50.0,1,1,2,2,5,5,5,2,4,4,6,4,1,4,5,7,2,10,2,5,6,2,10,2,10,1,1,2,18,2,14
mnh6,mnh6,50.0,14,15,15,25,25,25,25,32,26,36,28,26,15,26,25,28,32,37,32,25,28,30,30,15,30,15,15,15,15,25,35
mnh7,mnh7,50.0,1,1,38,9,9,9,9,9,9,9,28,9,1,9,20,28,9,32,36,22,29,42,32,1,32,1,3,8,41,8,38
mnh8,mnh8,50.0,54,1,83,69,69,78,78,69,75,69,78,69,68,69,78,78,69,69,81,78,78,69,69,1,79,68,68,1,1,69,83
mnh9,mnh9,50.0,1,1,1,5,4,4,4,4,8,4,4,9,1,9,10,4,15,12,4,11,4,12,12,1,12,1,1,4,21,4,1
mnh10,mnh10,50.0,1,1,1,1,12,12,12,1,1,26,29,11,4,11,12,12,1,15,1,12,14,15,15,1,16,1,4,1,1,1,21
mnh11,mnh11,50.0,2,1,21,5,5,5,5,5,5,5,32,5,1,5,5,5,5,14,5,5,5,25,27,5,14,3,1,16,22,5,21
mnh12,mnh12,50.0,1,1,9,9,9,9,9,19,12,33,9,9,1,9,13,9,21,35,18,9,9,17,36,4,17,1,1,9,4,25,28
