id,feature,weight,og,t1,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t2,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t3,t30,t4,t5,t6,t7,t8,t9
mh0,mh0,50.0,1,1,3,1,5,5,1,1,5,5,8,8,1,8,15,8,0,0,8,12,8,8,8,1,13,1,1,1,1,1,1
mh1,mh1,50.0,6,8,8,10,8,8,10,10,13,13,10,10,8,10,10,10,17,10,10,10,0,10,10,10,19,10,10,8,8,8,8
mh2,mh2,50.0,1,0,0,3,0,0,6,3,0,0,6,6,0,6,6,6,6,6,8,8,8,8,8,3,8,3,3,0,0,0,0
mh3,mh3,50.0,1,0,0,8,0,0,3,3,0,0,3,3,0,3,3,3,3,3,3,3,3,3,3,0,3,2,3,0,0,0,0
mh4,mh4,50.0,4,12,0,14,0,0,14,15,0,0,14,14,0,14,14,14,14,14,14,14,14,14,14,0,14,0,0,0,20,0,0
mnh0,mnh0,50.0,3,4,8,6,6,6,6,6,6,6,6,18,6,6,6,20,6,6,6,6,6,6,6,6,16,6,6,6,6,9,6
mnh1,mnh1,50.0,1,2,9,26,4,4,25,3,4,4,3,22,2,3,3,3,11,11,21,20,15,11,11,2,21,2,2,10,4,4,9
mnh2,mnh2,50.0,1,1,6,4,6,6,4,4,6,6,18,18,2,4,4,4,4,4,4,4,9,4,4,2,15,2,5,2,2,2,6
mnh3,mnh3,50.0,1,1,10,19,10,10,7,8,10,10,7,7,1,7,7,7,7,7,7,7,7,7,7,1,17,1,1,12,10,10,11
mnh4,mnh4,50.0,1,1,9,4,9,9,11,4,9,10,11,11,3,11,11,15,12,13,12,12,14,12,12,4,12,4,4,8,8,8,9
mnh5,mnh5,50.0,5,1,10,22,13,13,8,9,13,13,18,18,1,8,8,8,16,16,15,15,17,15,15,8,15,8,8,10,10,10,10
mnh6,mnh6,50.0,1,1,2,27,2,2,1,1,2,2,1,1,1,11,1,13,1,1,4,4,4,6,4,1,4,1,1,2,2,2,2
mnh7,mnh7,50.0,3,1,7,5,1,1,21,5,1,1,5,5,1,5,5,5,14,15,14,14,14,16,14,1,14,5,5,11,1,1,1
mnh8,mnh8,50.0,13,1,17,1,17,17,21,1,17,17,32,32,16,21,30,34,24,24,24,24,24,26,27,1,24,1,1,17,20,20,17
mnh9,mnh9,50.0,3,1,5,1,5,5,13,1,5,5,6,6,1,6,6,6,6,6,6,6,6,6,6,1,10,1,1,5,5,5,5
mnh10,mnh10,50.0,1,1,5,2,6,5,2,2,5,5,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,12,10,5
mnh11,mnh11,50.0,1,1,1,2,1,1,2,2,1,4,2,2,1,2,2,2,5,5,5,5,5,5,5,1,5,2,2,1,1,1,1
mnh12,mnh12,50.0,3,17,11,6,11,11,36,9,13,14,6,6,6,6,6,6,29,29,29,33,29,31,29,6,29,6,6,6,6,6,11
mnh13,mnh13,50.0,10,1,1,12,1,1,12,12,1,1,26,12,1,12,23,12,12,12,20,20,20,20,20,12,20,12,12,16,1,1,1
mnh14,mnh14,50.0,10,1,1,13,1,1,13,13,1,1,13,19,1,13,13,13,17,17,13,13,13,13,13,1,13,12,12,1,1,1,1
lpsh0,lpsh0,1.0,2,4,1,0,1,1,6,6,1,1,6,6,1,6,6,6/8,6,6,0/6/11,10,6/9,6,6,1/5,0,6,6,1,1,7,1
lpsh1,lpsh1,1.0,2,1,4,4,4,4,4,4,4,4,7,7,4,7,7,9,0,0,0,0,0,0,8,6,0,4,4,0/4,0,0,4
lpsh2,lpsh2,1.0,1/2,3,0/3,0,3,3,20/9,0,3,6,0,0,3,0,0,0,0,0,0/14,0,17,14,14,3,14,0/3,0/3,7,3,3,3
lpsh3,lpsh3,1.0,1,1,3,2,3,3,2,2,3,3,2,2,3/6,0,2,0/13,8,0/8,8,8,8,8,8,2,8,2/4,2/4,3,3,3,3
lpsh4,lpsh4,1.0,1,1,1,9,1,1,1,1,1,1,1,1,1,1/7,1/6,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
lpsh5,lpsh5,1.0,9,1,1,1,0,11,1,1,11,11,1,1,1,1,1,1,1,1/13,1,1,1,1,1,1,0,1,1,1,1,1,1
lpsh6,lpsh6,1.0,4,1,1/12,27,1,1,16,8,1,1,16,16,1,16,16/25,16,18,18,0,0,0,0,0,1,0,5,10,12,1,13,1
lpsh7,lpsh7,1.0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,8,8,0/9,0,0,0,0/10,0,9,0,0/5,0/6,0,0,0
lpsnh0,lpsnh0,1.0,6,1,1/11,10,1,1,31,10,12,12,24/25/15,24/15,1,15,15,27/15,21,18,18,18,18,18/23,18,1,18,10,10,1,1/13,13/14,1
lpsnh1,lpsnh1,1.0,1,1,1,4,1/6,6,4,4,6,7,4,4,1,4,4,4,4,4,4,4,4,4,4,1,10,1,1,1,1,1,1
lpsnh2,lpsnh2,1.0,8/9/10,1/11,15,12,16/15,15,12,12,15,15,18/24,25,17,18/26,18/24,18,19,18/19,19/22,19,22,23,19,11,19,11,11/12/14,15,15,15,15
lpsnh3,lpsnh3,1.0,1/3/4,1,10,8,10,12,8,8,13,12,8,8,6,8,8,8,8,8,8,8,16/15,8,17/8,6/8,8,6/8,8,6,6,6,10
lpsnh4,lpsnh4,1.0,4/5/6,1,1,23,1,1,13,13,1,1,13,13,1,13,13,13,19,19,19,19,19,19,19,1,22,1,1,1,17/14,18/14,1
lpsnh5,lpsnh5,1.0,4,1,8,5,8,11,5,5,11,11,5,5/21,1,5,5,5,18/15,15,20/15,15,15,15,15,5,15,5,5,12,1,1/8,10
lpsnh6,lpsnh6,1.0,3,1,17,6,15,15,6,10,15,15,6,6,1,6,6,6,6,6,6,6,26,6,6,1,6,1,1,22,1/25,1,17/15
lpsnh7,lpsnh7,1.0,1,1,1,18,1,1,6,6/8,1,1,6,6,1,17/6,14,17/6,6,6,6,6,6,6,11,2,12/13,2/3,2,10,1,1,1
lpsnh8,lpsnh8,1.0,3,1/10,1,1,1,1,1/17,1,1,1,1,1,1,1,1,1,1,1/12,1,1,1,1,16,1,1,1,1/4/5,1,9,9,1
lpsnh9,lpsnh9,1.0,9,1,1,22,1,1,1,10/12,1,1,1,1,1,17,1,17,1,1,1,1,1,1,1,1,1/20,1,1,16,1,1,1
lpsnh10,lpsnh10,1.0,7,1,16,14,16,16,14,14,16,16,14,14,16/11,29,28/14,29,20/21/14,20/21/14,14,14,23/24,14,14,10,14,10,10,16,16,16,16
lpsnh11,lpsnh11,1.0,1,1,11,1,11,11,1,1/9/10,14,14,1,1,1,20,1,20,16,16/1,16,18,16,17,19,1,16,1,1,1,1,1,11/12
lpsnh12,lpsnh12,1.0,5/6,1,13,1,16/13,13,28,9,13,13,25,25,13,21,25,21,22,22,22,22,22,22,22,1,24,1,10/11,13,13,18/13,13
lpsnh13,lpsnh13,1.0,4,6/11,9,8,9,9,8,8,9/10,10,8,8,6/9,24,8,28,8,8,8/14,8,8,8,8/13,6/7,20,6/7,7/8,9,6,6,9
lpsnh14,lpsnh14,1.0,7,8/11,18,8,18,18,36,8,22/23,22,26/27,26/27,8,26,29,32,26,26,26,26,26,26,26,8,26,8,8,24,14,14,18
lpsnh15,lpsnh15,1.0,1,1,1,1,1,1,4,1/4,1,1,4,4,1,4,4,20,16,16,4,4,17/4,4,4,1,19/4,1,1,1/11,1,1,1
lpsnh16,lpsnh16,1.0,2,1,4,19/20/21,3,3,1,1,3,3,13,13,1,18/8,8,8,9,9,9,9,9,12,9,1,9,1,1,1,1,1,3
lpsnh17,lpsnh17,1.0,1/2,1/3,7,6,7/8,7,6,6,7,7,20/12,12,4,6,12,6,12,12,12,12,12,18,12,5,19/12,5,5,10,4,4,7
lpsnh18,lpsnh18,1.0,9,1,16,12,16,18,12,15,18/19,18,12,12,1/11,12,12,12,12,12,12,12,22,12,12,11,12,12,12,1,20,20,16/1
lpsnh19,lpsnh19,1.0,2,1,1,3,1,1,3,6,1,1,14,14,1,3,14,3,14,14,14,14,14,14,14,3,14,3,3,10/11,1,1,1
lpsnh20,lpsnh20,1.0,9,1/10,16/10,12,16/10,16,12,12,16,16,19,19,10,12,19,12,22,19,19,19,19,19,19,10,19,10,11,18,10,10,16/10
lpsnh21,lpsnh21,1.0,5,1,1,7,1,10,7,7,10,10,19,19,1,7,19,7,16/15,14/15,15,15,15,15,15,1,15,1/6,1,1,1,1,1
lpsnh22,lpsnh22,1.0,6,1,1,1,1,1,1/21,1,1/7,1,1,1,1,1/19,1,19,1,1,13,13,13,13,13,1,13,1,1,1/9,1,1,1
lpsnh23,lpsnh23,1.0,1,1,17/3,12,3,3,12,12,3,3,20,20/21,3,12,21,12,20,20,20,20,20,20,20,3,27,9/12,14,3,19,19,3
lpsnh24,lpsnh24,1.0,1,1,1,14/15,1,1,1/13,1,1,1,6,6,1,1,6,11,7/8,1,1/6,1,1,6/9,1/6,1,1/6,1,1,1,1/5,1/5,1
lpsnh25,lpsnh25,1.0,2,1,5,1,5/6,5,4,1,5,7,9,9,1,9,9,9,16,11/15,11,11,17,11,11,1,11,1,1,5,5,5,5
lpsnh26,lpsnh26,1.0,1,1,7,19,7,7/10,1,1,7,7,1/17,1,1,1,16/1,1,11,11/12/13,11,11/14,11,11,15,1,11,1,1,7,4,4,7
lpsnh27,lpsnh27,1.0,1,1,1,3,1,1,3,3,1,6,8,8,1,11,8,11,10,10,10,10,10,10,10,1,10,2,2,1,1,1,1
lpsnh28,lpsnh28,1.0,9/13,1,15,1,15,15,1,1,16/15,15,30,30,1,1/31,30,1,18,18,18,18,18,22,24,1/14,27,1,1,15,15,15,15
lpsnh29,lpsnh29,1.0,4,1,11,8,11,12,8/28,8/9,12,12,8,8/27,5,8,8,8,8,8,8,8,26,8,8,5,8,5,5,11/14,11/15,17,11
lpsnh30,lpsnh30,1.0,2,3,3,5,3,3,15,5,3,3,15,15,3,13/15,15,13,17/18,17/18,20,20,20,20/21,20,3,20,3,3,3,3,3,3
lpsnh31,lpsnh31,1.0,1,1,1,1/4,1,1/6,3/4/11,1/3/4,1,1,3,3,1,3,3,3/10,8,8,3,3,3,3,3,1,9,1,1,1,1,1,1
lpsnh32,lpsnh32,1.0,1,1,1,2,1,1/4,16/2,3,4,1/5,2,2,1,2/14,2/12,2,2/8,2,2,2/10,9,2,2,1,2,2,2,1,1,1,1
lpsnh33,lpsnh33,1.0,1,1,1/5,4,1/6,1,4,4,1,1,14,14,5,16/4,14,16,9,9,4,4,4,4,4,4,11,4,4,1/5,7,7,1
