id,feature,weight,og,t1,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t2,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t3,t30,t4,t5,t6,t7,t8,t9
mh0,mh0,50.0,1,1,1,1,1,1,10,8,1,8,8,5,1,8,6,19,6,18,29,8,28,6,28,1,18,26,1,22,22,23,26
mh1,mh1,50.0,0,0,0,0,0,7,0,2,0,3,4,0,0,3,2,0,2,0,2,2,2,2,2,0,0,0,0,0,0,0,0
mh2,mh2,50.0,0,0,0,0,15,0,7,6,13,4,6,4,21,4,4,0,30,0,28,6,6,4,6,0,0,25,20,21,21,21,25
mh3,mh3,50.0,0,0,0,0,0,11,0,7,0,7,7,8,0,7,7,15,7,0,7,0,0,18,0,0,0,0,16,0,0,0,17
mh4,mh4,50.0,1,1,1,1,10,1,1,1,9,1,1,1,1,1,1,1,1,1,4,8,5,4,5,1,1,1,1,1,1,1,1
mnh0,mnh0,50.0,3,24,1,1,21,22,20,8,21,5,16,19,1,5,1,22,1,22,1,12,11,1,11,1,22,1,1,1,1,25,1
mnh1,mnh1,50.0,3,1,1,1,1,1,1,4,1,4,4,4,10,4,4,1,4,1,4,4,4,4,4,1,1,10,7,10,17,14,24
mnh2,mnh2,50.0,1,14,5,5,5,5,12,5,5,5,5,5,3,5,5,13,5,13,5,9,5,5,5,5,13,15,14,16,15,15,15
mnh3,mnh3,50.0,2,1,14,1,13,1,10,1,12,1,1,1,1,1,1,1,1,1,1,7,7,1,7,1,1,1,15,1,1,1,1
mnh4,mnh4,50.0,6,1,1,9,9,9,9,9,9,9,12,9,1,9,9,9,11,14,11,9,9,11,9,1,14,1,1,1,17,17,1
mnh5,mnh5,50.0,1,12,1,8,1,1,1,1,7,1,1,1,18,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1
mnh6,mnh6,50.0,5,1,1,1,1,1,1,1,1,1,1,14,24,1,1,1,1,1,23,1,1,21,1,1,1,24,1,25,24,24,27
mnh7,mnh7,50.0,12,1,1,24,25,24,47,19,25,19,19,17,1,19,17,24,50,24,49,20,19,17,19,1,24,1,1,1,1,55,57
mnh8,mnh8,50.0,1,1,5,1,1,1,1,1,1,1,1,3,1,1,1,4,1,1,8,1,1,1,1,1,1,1,1,1,1,1,1
mnh9,mnh9,50.0,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,20,22,1,1,1
mnh10,mnh10,50.0,2,1,18,1,12,1,11,5,12,5,5,6,1,5,5,16,5,16,5,5,5,5,5,1,16,28,22,1,1,1,1
mnh11,mnh11,50.0,1,1,29,8,17,23,15,8,19,8,8,13,35,8,8,8,30,24,8,8,8,8,8,4,28,35,1,35,35,35,35
mnh12,mnh12,50.0,1,22,1,13,13,16,13,1,13,5,1,8,1,5,1,16,1,16,20,1,1,36,1,1,17,1,23,28,31,30,1
mnh13,mnh13,50.0,1,1,4,4,4,4,4,6,4,6,8,4,1,6,6,4,6,4,6,7,7,6,7,4,4,1,1,1,1,10,1
mnh14,mnh14,50.0,1,21,3,3,3,16,12,7,3,7,7,3,24,7,3,19,26,19,3,7,7,3,7,3,20,3,21,3,3,3,3
lpsh0,lpsh0,1.0,1,1,22,0,0,14,10,0,0,0,0,0/7,0,0,0,0,0,0,0,0,0,0,0,1,20,0,1,0,0,0,25/28
lpsh1,lpsh1,1.0,2/3,0,10,10,10,20,17/10,13/14,10,13/14,14,15,0/33,0,10/13,0,13,25,13,13,13/14,13,13,0/7,0,0,32,0,36,36,37
lpsh2,lpsh2,1.0,5,1,20,7,7,13,7,0,6,0,0,0,1,0,0,7,23,7,0,0,0/22,21,0/22,1,7,1,26,1,28,28,1
lpsh3,lpsh3,1.0,7,17/15,1,1,1,11,1,1,1,1,1,1/9,1,1,1,1,1,14,1,1,31,30,0,1,14,1,15,1,1,1,26/28
lpsh4,lpsh4,1.0,2,1,6,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,13,0,1,1/12,1,1,19,0/14,0/14,0/1
lpsh5,lpsh5,1.0,4/5/6,1,1,10,10,0,10,14,10,0,14,11,1,0,0/12/13,20/21,0,20,0,18,18,0,0/18,1/7,20,1,1,1,1,0/1/23,1
lpsh6,lpsh6,1.0,1,1,1,1/8,3,1,5,0,3/7,0,0,0/1,1/10,0,2,1/9,2,1,2,0,0,2,0,1,1,1,1,10,10,10,1
lpsh7,lpsh7,1.0,4,0,0,21,19,0/22,0,9,0/14/15,12,9,0,0,12,10,0,0/9,0,9,9,9,9,9,0,23,28,0,0,0/27,0,28/29
lpsnh0,lpsnh0,1.0,1,1,19,6,6,14,6/9,8,6,8,8,6,3,8,8,6,8,18,8,8,8,8,8,1/3,6,24,3,3,3,3,23
lpsnh1,lpsnh1,1.0,2,16,1,1/10,1,11,1,5,1/9,1,5/6,1/8,1,1,1,1,1,1,1,6,5,23,5,1/3,14,1,16,1,1,17,20
lpsnh2,lpsnh2,1.0,1,1,2,2,2,2,2,2,2,2,2,8,1,2,2,2,2,2,2,2,2,2,2,2,2,1,11,1,1,1,1
lpsnh3,lpsnh3,1.0,1,1,1,1,9,1,8,3,1,3,3,1/7,1,3/5,1,1/10,1/12,1,11,3,3,1,16,1,1,1,1,1,17,1,1
lpsnh4,lpsnh4,1.0,3,33,1,1,1,1,22,1,1,1,1,1,1,1,1,31,1,1,1,1,1,1,1,1,1/30,1,33,1,1/35,1,1
lpsnh5,lpsnh5,1.0,1/2,1/42,3,35,35,35,35,35,35,35,35,35,43,35,35,35,35,35,69,35,35,35,35,1,35,43,1,43,43,43/44,67/68
lpsnh6,lpsnh6,1.0,3,1,6,10/12,10,10,10,5,10/11,5,5,5/9,1,5,5,10,5,10/13,5,8,8,5,8,5/6,13,16,14,16,17,18,16
lpsnh7,lpsnh7,1.0,5/6/7,1,1,1,1,1,19,15,1,16/15,15,1/18,1,15,15,1,15,20,15,15,27,26,27,8,20,1,1,22,23,23,1
lpsnh8,lpsnh8,1.0,1/2,1,3,3,3,3,3,3,3,3,3,3,1/15,3,3,7,3,8,3,3,3,3,22,3,12/13,20,1,1,1,18/19,20
lpsnh9,lpsnh9,1.0,1,1,1,5,10,5,7,1,11/12/13,1,1,1,1,1,1/2/3/4,14,33/2,14,3,1,1/18,16/17/3,20,1,15,32,1,1,27,1,1
lpsnh10,lpsnh10,1.0,3,5,5,5,5,8,5,5,5,5,5,5,15,5,5,11,18,11,16,6,5,13,5,5,12,15,5,15,15,15,15
lpsnh11,lpsnh11,1.0,1,7,7,7,13,14,7/12,7/9,13,9,7,11,20/7,9,7,17,7,7,7,9,9,7,9,7,16,7,7,7,23,21,7
lpsnh12,lpsnh12,1.0,11/12/13/14,1/25,16,1,22/23,1,1,1,22/24,1/19/20,1,1,1,1/19/21,1/17,1,1,1,1,1,1,1,1,1,1,1,39,43,1,1,44/45
lpsnh13,lpsnh13,1.0,1,1,29,3,3,21,19,6,20,6,6,3,1,6,5,21,5,21,5,6,6,5,6/31,1,25,1,1,32,32,32/33,1
lpsnh14,lpsnh14,1.0,1,1,1,2,8/9,2,2,5,10/12,2,5,2,1,2,3,16/2,3,2/13,17,5,5,26,5,1,15,1/25,1/21,1,22,1,24
lpsnh15,lpsnh15,1.0,1,1,1,9,15,9,9,9,16/15,12,9,9,1/31,12,9,9/25,28,9,9,13,13,9,26,1,23,31,1,31,31,32/31,31
lpsnh16,lpsnh16,1.0,1,1,1,1,1,1,1,2,1,2,2,6,9/10,2,2,1,2,1,2,3/4,3,2,3,1,1,11,1,9,12,14/15,11
lpsnh17,lpsnh17,1.0,1,1,1,10,10,10,10,11/13,10,11,11,10,1,11,12,18/10,12,10,28/29,11,11,27,11,1,16,1,1,1,22/23,22,1/24
lpsnh18,lpsnh18,1.0,1,21,3/15,5,5,5,5,9,5,9,9,5,23,9,7,14,17,11,7,9,9,7,20,1/2,11,23,1,23,23,23,24
lpsnh19,lpsnh19,1.0,1,1,29,1,9,1,7,5,9/10,5,5,2,31,5,5,26,5,1,5,5,37,36,37,1,11,32,1/30,31,31,31,32/35
lpsnh20,lpsnh20,1.0,1,1/2,1,1,9,1,9,4,9,4,4,1,1/2,4,4,1,4,1,18,4,4/11,4,11,1,1,1/2,1,2,12/14,12,17
lpsnh21,lpsnh21,1.0,1,15,1,1,1,1,9/10/11,5,1,5,5,1,1,5/7,5,14,5,1,5,5,5,5/6,5,1/2,1,16/1,1,1,1,1,1
lpsnh22,lpsnh22,1.0,1,1,1,7,7,14,7,7,7/11,7,7,7,1/34,7,7,19,26,19,7,10,10,27,10,1/3,19,1/34,31,36,36,36,38/39
lpsnh23,lpsnh23,1.0,1,1,1,9,14,9,11,1/4,14,1,1,8,1,1,1,15,1,9,1,1/4,1/4/26,1/25,1/4/26,1,9,1,21,1,1,1,1
lpsnh24,lpsnh24,1.0,1,3,3,10,9,11,3,5,9,5,5,3,3,5,5,18/10,5,10,5,5/7,5/7,6,19/5/7,3,17,3,3,26,3,3,3
lpsnh25,lpsnh25,1.0,1,2,1,1/6,1,1,1,1/4,1,1,5,1,1/10/11,1,1,1,1,1,1,1,1,1,1,1,1,11,2/9,1,10/12,10,11/14
lpsnh26,lpsnh26,1.0,1,31,1,1,22/24,1,1,1,22,1,1,1/21,1,1,1,1,1,1,3,19/20,20,3/20,20,1/2,27/28/29,1,31,35,34/36,34,1
lpsnh27,lpsnh27,1.0,1,1/9,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1/5,1,1,1,1,1,1/6,1,3,1/12,1,1,10,10,1
lpsnh28,lpsnh28,1.0,4,1,1,1/10,1,1,14,1,1,1/11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
lpsnh29,lpsnh29,1.0,2,1,1,1,1,1,1/14,1,1,1/8,12,1,23,1,1,15,16/17,15,1,10/11,10,1,10,1/4,15,27,19,23,23,23,23
lpsnh30,lpsnh30,1.0,1,1,11,3,8,3,8,1,8,6,1,1,1,5/6,1,10,1,3,14,1,12/13,1,12,1,3,1,1,1,1,1,1
lpsnh31,lpsnh31,1.0,1,20,2,2/9,2,12,2,6,2,6,6,2,2,6,6,2,33/35,16,6,6,6,6,6,2,16,2,20,2/22,2,2,29
lpsnh32,lpsnh32,1.0,1,1,1,1,1,1/7,5,2,1/6,2,2,2,1,2,2,8,2,1,2,2,17,15,17,1,1,1,1,1,1,1,1
lpsnh33,lpsnh33,1.0,3/4,1,5,5,5/9,5,5,8,5,8,8,7,1,8,7,13,20,10,18,8,23/8,22,23,5,12,1,14,1,16/1,16/1/17,1
lpsnh34,lpsnh34,1.0,2,1,1,1,5,1,1,1,5,1,1,1,1,1,1,7,1/14,1,1,1,1,1,1,1,1,1,1,10,10,10,1
lpsnh35,lpsnh35,1.0,4,28,6,7,7/15,16,11,7,13,7,7/10,7,1,7,7,7,7,19,7,7,7,7,7,6,20,1,28,1,1,1,1
lpsnh36,lpsnh36,1.0,1/2,6,6,6,6,6,6,7,6,7,7,7,6,7,10,17,10,16,10,7,27,10,27,6,16,6,6,24/25,6,6,6
lpsnh37,lpsnh37,1.0,1,21,1,4,4,4,4,5,4,5,5,4,1,5,5,4/15,5,4,17,5,5,5,5,2,14,1,19,1,1,1,1
