id,feature,weight,og,t1,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t2,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t3,t30,t4,t5,t6,t7,t8,t9
mh0,mh0,50.0,1,0,0,0,0,36,53,0,0,0,54,24,0,28,43,26,0,0,0,0,0,48,52,0,49,0,34,0,0,40,0
mh1,mh1,50.0,1,7,1,1,7,6,1,7,7,1,1,1,5,1,6,1,1,6,6,1,1,6,11,1,6,1,5,1,7,6,7
mh2,mh2,50.0,1,1,0,1,11,1,0,11,11,0,0,0,4,0,1,2,1,6,6,13,1,17,6,1,6,1,4,1,12,7,11
mh3,mh3,50.0,1,0,13,13,21,11,13,23,20,13,13,0,11,13,11,15,27,35,35,27,11,36,39,11,44,11,11,11,0,11,0
mh4,mh4,50.0,0,0,3,3,10,6,3,10,10,3,3,3,0,5,6,5,3,0,0,3,3,0,0,0,0,0,0,3,10,0,0
mnh0,mnh0,50.0,1,11,1,1,12,10,1,12,12,1,1,1,1,1,24,1,1,8,8,1,4,45,46,9,47,1,1,1,12,8,14
mnh1,mnh1,50.0,1,1,17,17,38,35,17,38,40,17,17,17,3,17,41,17,17,42,42,47,28,42,42,1,42,3,3,3,40,1,38
mnh2,mnh2,50.0,1,1,2,6,12,9,2,12,14,2,2,2,2,2,9,2,3,7,16,3,4,16,20,7,7,2,2,2,14,11,12
mnh3,mnh3,50.0,1,1,1,1,1,1,1,1,13,1,1,1,1,1,1,1,1,16,16,23,8,22,1,1,1,1,1,1,1,1,1
mnh4,mnh4,50.0,1,17,5,5,17,18,5,17,17,5,5,5,2,5,18,5,31,18,18,35,11,18,18,18,18,4,16,5,17,19,17
mnh5,mnh5,50.0,1,1,1,1,1,8,1,1,16,3,1,3,1,1,8,1,1,17,35,1,1,17,17,5,17,1,1,1,1,8,1
mnh6,mnh6,50.0,11,1,13,13,1,1,33,23,21,13,33,13,13,17,24,14,26,1,1,13,13,1,1,1,1,13,13,13,1,1,1
mnh7,mnh7,50.0,1,1,4,4,17,8,21,16,15,4,25,4,4,4,8,4,4,9,33,4,4,9,9,1,9,4,4,4,15,1,12
mnh8,mnh8,50.0,72,75,75,75,83,75,75,83,83,75,75,75,75,75,88,75,87,75,75,87,78,75,75,75,75,75,75,77,83,75,83
mnh9,mnh9,50.0,1,1,1,1,10,1,1,10,10,1,1,1,1,1,1,1,15,1,11,15,5,1,1,1,1,1,8,1,10,9,10
mnh10,mnh10,50.0,1,15,1,1,15,1,1,15,15,12,1,12,1,1,1,1,21,24,24,21,11,24,1,1,1,1,1,1,15,13,16
