id,feature,weight,og,t1,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t2,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t3,t30,t4,t5,t6,t7,t8,t9
mh0,mh0,50.0,1,16,15,32,0,32,34,32,26,30,0,1,1,0,34,0,12,1,0,0,0,0,32,20,0,1,1,1,1,9,1
mh1,mh1,50.0,1,1,4,1,8,1,1,1,9,1,0,0,1,0,1,3,3,0,8,8,8,8,1,1,1,7,1,2,2,1,2
mh2,mh2,50.0,0,1,6,21,12,1,0,1,0,14,6,1,0,54,17,6,0,8,12,12,31,12,22,10,0,1,1,1,1,3,1
mh3,mh3,50.0,1,2,2,52,0,52,56,52,37,0,0,22,1,52,56,2,2,22,59,59,60,30,52,0,56,2,8,2,2,2,2
mh4,mh4,50.0,0,0,4,19,12,19,19,19,15,15,0,0,0,0,19,0,0,0,0,0,0,12,0,8,19,0,1,0,0,0,0
mnh0,mnh0,50.0,2,1,1,36,1,28,1,1,1,1,1,1,33,46,30,1,1,1,23,23,43,1,1,1,31,1,1,1,1,8,1
mnh1,mnh1,50.0,3,1,1,1,1,1,37,24,1,1,14,20,1,41,37,10,13,18,42,42,1,1,1,1,39,1,5,1,16,1,16
mnh2,mnh2,50.0,1,1,1,1,14,17,18,1,16,16,8,10,1,26,18,1,1,10,22,22,15,14,1,1,18,1,1,1,1,1,1
mnh3,mnh3,50.0,1,1,4,23,1,23,23,23,1,1,4,1,1,23,23,4,4,1,1,28,30,29,23,1,23,18,2,15,1,3,9
mnh4,mnh4,50.0,7,8,14,32,1,1,1,1,27,27,8,20,29,1,1,14,14,17,1,31,34,1,32,1,1,8,10,8,8,8,8
mnh5,mnh5,50.0,1,1,1,26,18,43,26,27,1,25,1,1,49,26,26,5,5,11,53,1,58,1,26,1,26,1,1,1,12,1,7
mnh6,mnh6,50.0,3,1,6,1,29,1,35,1,30,14,6,10,38,39,35,6,8,1,22,22,22,22,1,15,37,1,1,13,1,1,1
mnh7,mnh7,50.0,14,1,19,37,34,37,41,37,1,1,19,1,1,37,41,19,25,1,49,51,1,1,37,1,45,1,17,1,1,1,27
mnh8,mnh8,50.0,1,1,1,18,9,19,14,18,1,12,4,7,1,18,21,1,3,1,1,1,29,1,18,1,21,1,1,1,1,1,1
mnh9,mnh9,50.0,3,1,6,39,30,41,45,39,36,33,1,25,39,46,42,6,6,1,1,1,51,1,47,28,42,1,4,27,1,5,1
mnh10,mnh10,50.0,1,1,10,26,1,28,26,28,1,23,10,19,32,33,26,10,10,1,1,1,35,1,26,1,26,1,3,22,1,9,1
mnh11,mnh11,50.0,1,10,10,65,1,76,65,75,61,61,10,34,65,65,65,25,10,10,1,1,95,45,79,1,65,10,16,40,10,20,10
mnh12,mnh12,50.0,1,3,3,25,1,25,28,26,20,20,13,14,21,25,32,3,3,17,1,1,41,36,40,1,28,3,3,3,14,3,14
mnh13,mnh13,50.0,1,1,2,1,20,31,32,1,26,28,2,8,1,1,32,6,2,8,21,21,34,20,1,20,32,17,1,17,7,1,13
mnh14,mnh14,50.0,2,4,6,3,22,3,3,28,25,25,6,17,3,3,3,8,6,4,22,22,32,22,3,21,3,4,4,4,4,4,13
lpsh0,lpsh0,1.0,2,1,9,32,1,19,29,19/20,16,0,6,1,18,37,29,9,9,0,34,34,35,0,0,1,29,1,4,1,1,5,1
lpsh1,lpsh1,1.0,2,4,8,48/34,24,34,0/34,34/37,31,0,7,19,0,34,34/43,8,1,14,45,23,51,47,34,20,34,1,5/6,1,1,0,1
