id,feature,weight,og,t1,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t2,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t3,t30,t4,t5,t6,t7,t8,t9
mh0,mh0,50.0,1,1,22,7,29,0,11,5,10,5,15,8,3,6,19,0,29,10,10,10,3,16,19,0,28,13,29,22,0,0,0
mh1,mh1,50.0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,18,0,0,0,12,0,0,0,0,0,0,0,0,0,0
mh2,mh2,50.0,2,1,17,1,1,1,1,1,1,1,1,1,1,1,15,1,1,1,1,1,7,1,15,1,22,1,1,17,1,1,1
mh3,mh3,50.0,6,0,8,9,32,8,0,9,35,24,8,0,8,9,8,0,32,26,0,35,8,28,8,8,8,8,8,8,8,8,8
mh4,mh4,50.0,2,4,16,4,26,4,4,4,4,11,16,12,4,4,18,16,27,4,4,4,15,0,22,4,16,4,4,16,16,16,18
mnh0,mnh0,50.0,4,5,29,7,31,7,15,7,7,9,7,13,7,7,7,7,71,7,7,7,7,22,7,7,7,17,7,7,7,7,7
mnh1,mnh1,50.0,1,3,17,4,26,4,16,4,4,4,17,4,6,9,20,18,26,4,32,4,4,20,20,17,17,17,26,17,20,17,20
mnh2,mnh2,50.0,1,1,22,1,1,5,5,1,5,1,1,1,1,1,1,1,1,5,5,5,18,1,1,1,21,1,1,21,1,1,1
mnh3,mnh3,50.0,1,1,1,1,16,4,4,1,4,1,1,1,1,1,1,1,19,4,4,4,1,1,5,1,1,1,6,1,1,1,1
mnh4,mnh4,50.0,1,1,10,10,10,10,10,10,30,10,17,10,11,10,21,10,10,10,27,30,10,22,25,10,10,15,10,10,10,10,21
mnh5,mnh5,50.0,5,1,17,10,1,1,1,10,1,11,17,10,1,10,17,17,24,1,1,1,1,17,17,1,17,1,1,17,17,17,17
mnh6,mnh6,50.0,1,1,1,5,1,7,7,1,7,4,20,1,1,1,23,22,1,7,7,7,8,1,23,1,1,1,1,1,1,20,1
mnh7,mnh7,50.0,3,1,21,1,23,6,7,1,6,1,1,4,1,1,1,1,25,6,26,6,19,1,1,1,1,1,1,1,1,1,1
mnh8,mnh8,50.0,11,13,1,19,101,1,1,1,1,1,88,19,15,1,85,85,101,1,1,1,82,98,85,1,100,83,1,1,85,85,85
mnh9,mnh9,50.0,2,3,9,1,13,7,1,5,1,1,9,1,1,5,9,9,13,1,1,1,1,9,9,1,9,1,12,9,9,9,9
mnh10,mnh10,50.0,1,1,9,5,21,5,5,5,5,7,9,5,1,5,13,9,24,5,5,5,5,13,15,9,19,9,20,9,13,9,13
mnh11,mnh11,50.0,3,5,12,5,5,5,5,5,5,5,19,5,10,5,20,13,5,5,5,27,5,20,20,12,12,12,5,22,20,13,20
mnh12,mnh12,50.0,3,7,41,13,43,9,27,9,23,12,35,20,9,9,34,34,43,24,23,23,30,39,40,9,41,9,9,41,34,34,34
mnh13,mnh13,50.0,8,10,1,11,24,17,17,1,17,1,1,13,1,1,1,1,25,17,17,17,21,22,1,1,1,1,1,1,1,1,1
mnh14,mnh14,50.0,6,1,9,10,9,9,9,13,9,12,26,10,9,13,29,9,37,15,38,9,18,33,34,9,9,9,9,9,29,9,29
lpsh0,lpsh0,1.0,3,5,13,1,1,9/11,9,1,9,7,13,1,1,1/8,13,13,0,9,0/9,9,1,13,13,13,15,1,1,13,13/14,13,13
lpsh1,lpsh1,1.0,1,1/3,7,0/1,1,0,5,1,5,1,8,1,1,1,8,8,0/1,0,5,5,1,12,8,7,7,7,1/14,7,8,10/11,8
lpsh2,lpsh2,1.0,1,3,3,11,3,17,17,11,17,11,0/20,11,2/3/4,11,22,20,0,17/18,17,17,4,20,22,3,3,3,0/3/23,3,20,20,20
lpsh3,lpsh3,1.0,1/2,0,33,17/15,0/39,20,20,12,20,11,26/30,0/15,1,12,26,26,0,20,20,20,0,26/31,26,1/25,32/1,24,38,1,26,26/27,26
lpsh4,lpsh4,1.0,2,0,12,0,0,0,9/11,0/3,9,3,0,0,0,0/3,0,0,0,9,9,9,0,0,0,0,12,0,15,12,0,0,0
lpsh5,lpsh5,1.0,11,1,1,1,1,1/18,18,16,18,14,27,1,1,17,1,27,1,18,18,18,24,1,32/31,1,1,1,1,1/33/34,1,27,1
lpsh6,lpsh6,1.0,3,1,4,10,34,14,14,12,14,10,28,10,7,12,4,25,38,14,39,14,19,32/0,4,4,4,4,34,4,4/29,20,4
lpsh7,lpsh7,1.0,0/1,1,3,3,18,4,5,3,7,3,15,3,3,3,3,11/13,19,5,7,20,3,3,3,3,3,3,17/3,3,3,3,3
lpsnh0,lpsnh0,1.0,5,6,24,16,6/31,18,18,6,18,6,24,16,12,6,30,24/27,31,18/20,18,18,19,24/29,30,6,24,21/6,6,24,24,24,24
lpsnh1,lpsnh1,1.0,1,2/3,1/19,7,1,10,10/13,5/6,10/12,5/6,1,8/9,4,5,1,1,1,10,10,12,14,1,1,1,1,1,1,16/1/19,1,1,1
lpsnh2,lpsnh2,1.0,11/13,1,15,18/15,15,19,19,15,19,15,24,15,15,15,30/15,21/22/15,37,19,19,19,15,27,15,15,15,15,15,15,21,21,15
lpsnh3,lpsnh3,1.0,1,1,10/28,10,10,15,14,13,14,10,17/18,10,10,11/12,20/10,10,10,14,14,14,10,10,10,10,25,10,10,10,10,16/17/10,10
lpsnh4,lpsnh4,1.0,8,1,1/33,12,1,18,19/20,12,18/35,12/13,1/21,12,1,12/14,1,1,1,18,18,18,12,22,1/23,1,32,1,34,1,1,1,22
lpsnh5,lpsnh5,1.0,1,1,7,11,29,7,7,7,7,7,7,13,7/8,7,7/26,7,29,7,7,7,18,24,7,7,7,7,7,7,7,7,7
lpsnh6,lpsnh6,1.0,2,1,3,1/11,26,1,14,9/10,1,10,19/21,1,1,9,19,19/20,28,1,1/31,1,1,19,19,3,25,1/3,26,3,19,19,19
lpsnh7,lpsnh7,1.0,2,1,5,5,5,8/9,8/10,7,97/8,7,5,5,5,7,5,5,5,8,8/92,8,81,5,5,5,91,84/5/85,5,5,5,5,5
lpsnh8,lpsnh8,1.0,1/3,1,29,10/11,7,14,19/20,8,32,8,23,12/13,7,8,25,22,7,14/15,16/17/19,32/33,21/7,25,25/26,7,29/30,7,7,7,25,7,25
lpsnh9,lpsnh9,1.0,9,1,21,15,1,16/1,19,12,16,12,20,12,1,12,20,20,1,17,16,16,1,20,20,1,21/26,1,1,21,20,20,20
lpsnh10,lpsnh10,1.0,9,10,34,16,35,18/11,11,14/15,11,11,11/27,16,11,14,28,24,35,22,11,11,23,30,28,11,11,11,35,11,28,11,28/29
lpsnh11,lpsnh11,1.0,6,8/9,27,13,13,18,19/22,15,19,14,24,17/13,13,14,24,25,13,20,19,19/31,23,24,24,24/13,24,13,28,24,24,24,24
lpsnh12,lpsnh12,1.0,3,5,41/12,21/22,46,23,12,15,55/12,18,36/37,12,12,15,39/40,34,51,24/12,54,56,30,38,40,12,43,12,45,41/12,12,12,12
lpsnh13,lpsnh13,1.0,5,6,6,6,22,6,14,6,6,12,6,6,6,6,20,6,23,6/13,6,6,6,6,6,6,6,6,22,6,6,6,6
lpsnh14,lpsnh14,1.0,4,1/8,30,1,1,18,20,10/11,32,9,1,12,1,1,26,1/23,1,19/14,19,32,1,26,26,1,30,1/21/22,1,30,1,1,26
lpsnh15,lpsnh15,1.0,1,6,8,16/14,2/8,8,18/8,2/9,8,9,8,17/11,2/8,10,21/8,20,2,8,8,8,2,21/22,21,2/19,46,2,2,8,21,8,21
lpsnh16,lpsnh16,1.0,4/8,1,13,13,60,13,13,16,13,16,46,13,13/14/15,16/18,57,13,60,13,13,13,39/40,13,57,13,13,13,13,13,13,13,13
lpsnh17,lpsnh17,1.0,1,1,1,15,21,1,16,13,25,13,1,13,11/12,13,1,1,21,16,16/23,25,1,1,1,1,1,1,1,1,1,1,1
lpsnh18,lpsnh18,1.0,3,7,1,1,32,1,17,13,34,11/13,1,1,8,13,1,19,32,1,1,34,1,1,1,1/18,30,1,32,1,1,1,1
lpsnh19,lpsnh19,1.0,2,8,20,15,15,17,15,15,36,15,20,16,15,15,20,20,33,15,15,36,15,20,20,20,20/26,20,15,20/27,20,20,20
lpsnh20,lpsnh20,1.0,6/7,1,1,1/9,1,11,11,1,11,1,1,9,1,1,1,1,1,11,11,18/11,14,1,1/15,1,1,1,1,16,1,1,1
lpsnh21,lpsnh21,1.0,1,1,8,8,8,16,19,8,19,8,22,8,8/11,8/13,24,22,29,19,30,19,20/8,25,24,8,8,21,8,8,8,22,24/25
lpsnh22,lpsnh22,1.0,2,1,3,3,3,4,7,3,4,3,3,3,3,3,3,3,3,4/5,4,4,8,3,3,3,14,3,3,3,3,3,3
lpsnh23,lpsnh23,1.0,1/2,1,1,1,39,17,1,1,1,1/15,1,1,13/14,1,33,32,39,1,1,1,24,1,33,1,1,1,39/40,1,1,1,1
lpsnh24,lpsnh24,1.0,1,1,16/4,4,19/4,4,4,4,4,4,13,4,4,4,14/15,13,18,4,4,4,11,4,14,4,4,4,17/4,4,4,13,4
lpsnh25,lpsnh25,1.0,1,1,29,18,35,7,24,8/13,7/24,7,29,7,1,9/11,29,29,35,23,7/24,7/24,7,29,29,1,29,1,1,29,29,29,29
lpsnh26,lpsnh26,1.0,4,1,24,8,8,17,18,10/11,18,10,20,13,8,10,20,20/21,8,18,18,18,19,20/22,20,20/8,24,8,8,23/24,20,20,20
lpsnh27,lpsnh27,1.0,2,1,17,3,19/22,3,3,3,3,11,3,3,10,3,3/14,3,19,3,3,3,3,3,3,3,16,3,19,3,3,3,3
lpsnh28,lpsnh28,1.0,4/7,1,19,1,22,12,12,1,25,9,16,1/11,1,1,1/17,16,22,12,12,12,13/14,1,1,1,19,1,1,19,1,16,1
lpsnh29,lpsnh29,1.0,3,1,1,1,15,1,1/8,1,1,1,1,1,1,1,1,12,15,1,1,1,10,1,1,1,1,1,21,1,1,1,1
lpsnh30,lpsnh30,1.0,2,1/3,1,6,1/21,4,15,13,23,7,1,6,1,13,1,1/18,1/21,15,4/15,23,17,1,1,1,19,1,1,1,1,1,1
lpsnh31,lpsnh31,1.0,1,3,4,11,4,4,14,4/7,23,4,16,8,4,4,4,4,4,4/13,4,23,4,4,4,4,18/19,4,4,4,4,4,4
lpsnh32,lpsnh32,1.0,1,1,15,9,1,1/10,1,1,24,7/8,15,9,5/6,1,17,15,1,1,1,24,12,15,17,1,21,14,1,15,15,15,15
lpsnh33,lpsnh33,1.0,2,1,1,11,1,17,19,1,19,1/7,22,1,1,1,1,21,43,1/18,45/46,19,1,1,1,1,35/37,1,1,1,1/24,1,1
lpsnh34,lpsnh34,1.0,1,3,24,5,5,6/10,6/14,5,6,5,18/5,5,5,5/8,5,17/5,34,6/11/12,6,6,5,19,5,5,24/25,5/15,5,24,23,5,5
